"""directorOfMovieWithHugoWeaving""","""directedMovieWithHugoWeaving""","""movieWithHugoWeaving""","""hugoWeaving"""
"{""name"":""James Marshall"",""born"":1967}",{},"{""title"":""V for Vendetta"",""tagline"":""Freedom! Forever!"",""released"":2006}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Lilly Wachowski"",""born"":1967}",{},"{""title"":""Cloud Atlas"",""tagline"":""Everything is connected"",""released"":2012}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Lana Wachowski"",""born"":1965}",{},"{""title"":""Cloud Atlas"",""tagline"":""Everything is connected"",""released"":2012}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Tom Tykwer"",""born"":1965}",{},"{""title"":""Cloud Atlas"",""tagline"":""Everything is connected"",""released"":2012}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Lana Wachowski"",""born"":1965}",{},"{""title"":""The Matrix Revolutions"",""tagline"":""Everything that has a beginning has an end"",""released"":2003}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Lilly Wachowski"",""born"":1967}",{},"{""title"":""The Matrix Revolutions"",""tagline"":""Everything that has a beginning has an end"",""released"":2003}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Lana Wachowski"",""born"":1965}",{},"{""title"":""The Matrix Reloaded"",""tagline"":""Free your mind"",""released"":2003}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Lilly Wachowski"",""born"":1967}",{},"{""title"":""The Matrix Reloaded"",""tagline"":""Free your mind"",""released"":2003}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Lana Wachowski"",""born"":1965}",{},"{""title"":""The Matrix"",""tagline"":""Welcome to the Real World"",""released"":1999}","{""name"":""Hugo Weaving"",""born"":1960}"
"{""name"":""Lilly Wachowski"",""born"":1967}",{},"{""title"":""The Matrix"",""tagline"":""Welcome to the Real World"",""released"":1999}","{""name"":""Hugo Weaving"",""born"":1960}"
