"""actor""","""movieCount"""
"{""name"":""Bill Paxton"",""born"":1955}",3
"{""name"":""Takeshi Kitano"",""born"":1947}",1
"{""name"":""Carrie Fisher"",""born"":1956}",1
"{""name"":""Geena Davis"",""born"":1956}",1
"{""name"":""Diane Keaton"",""born"":1946}",1
"{""name"":""John Hurt"",""born"":1940}",1
"{""name"":""Kevin Pollak"",""born"":1957}",1
"{""name"":""Michael Clarke Duncan"",""born"":1957}",1
"{""name"":""Emile Hirsch"",""born"":1985}",1
"{""name"":""Rosie O'Donnell"",""born"":1962}",2
"{""name"":""Liv Tyler"",""born"":1977}",1
"{""name"":""Werner Herzog"",""born"":1942}",1
"{""name"":""John Cusack"",""born"":1966}",1
"{""name"":""Parker Posey"",""born"":1968}",1
"{""name"":""Jay Mohr"",""born"":1970}",1
"{""name"":""Anthony Edwards"",""born"":1962}",1
"{""name"":""Audrey Tautou"",""born"":1976}",1
"{""name"":""Oliver Platt"",""born"":1960}",2
"{""name"":""Helen Hunt"",""born"":1963}",3
"{""name"":""Gary Sinise"",""born"":1955}",2
"{""name"":""Emil Eifrem"",""born"":1978}",1
"{""name"":""Jack Nicholson"",""born"":1937}",5
"{""name"":""Jonathan Lipnicki"",""born"":1996}",1
"{""name"":""Christopher Guest"",""born"":1948}",1
"{""name"":""Matthew Fox"",""born"":1966}",1
"{""name"":""Nathan Lane"",""born"":1956}",2
"{""name"":""Gene Hackman"",""born"":1930}",3
"{""name"":""Tom Hanks"",""born"":1956}",12
"{""name"":""Richard Harris"",""born"":1930}",1
"{""name"":""Jim Broadbent"",""born"":1949}",1
"{""name"":""Rita Wilson"",""born"":1956}",1
"{""name"":""Renee Zellweger"",""born"":1969}",1
"{""name"":""River Phoenix"",""born"":1970}",1
"{""name"":""Kiefer Sutherland"",""born"":1966}",2
"{""name"":""Carrie-Anne Moss"",""born"":1967}",3
"{""name"":""James Cromwell"",""born"":1940}",2
"{""name"":""Danny DeVito"",""born"":1944}",2
"{""name"":""Susan Sarandon"",""born"":1946}",1
"{""name"":""Halle Berry"",""born"":1966}",1
"{""name"":""Sam Rockwell"",""born"":1968}",2
"{""name"":""Julia Roberts"",""born"":1967}",1
"{""name"":""Madonna"",""born"":1954}",1
"{""name"":""Stephen Rea"",""born"":1946}",1
"{""name"":""Rain"",""born"":1982}",2
"{""name"":""Billy Crystal"",""born"":1948}",1
"{""name"":""Rick Yune"",""born"":1971}",2
"{""name"":""Ed Harris"",""born"":1950}",1
"{""name"":""Max von Sydow"",""born"":1929}",2
"{""name"":""Zach Grenier"",""born"":1954}",2
"{""name"":""Michael Sheen"",""born"":1969}",1
"{""name"":""Wil Wheaton"",""born"":1972}",1
"{""name"":""Jerry O'Connell"",""born"":1974}",2
"{""name"":""Al Pacino"",""born"":1940}",1
"{""name"":""Hugo Weaving"",""born"":1960}",5
"{""name"":""Philip Seymour Hoffman"",""born"":1967}",2
"{""name"":""Cuba Gooding Jr."",""born"":1968}",4
"{""name"":""Val Kilmer"",""born"":1959}",1
"{""name"":""Victor Garber"",""born"":1949}",1
"{""name"":""Ice-T"",""born"":1958}",1
"{""name"":""Ian McKellen"",""born"":1939}",1
"{""name"":""Tom Cruise"",""born"":1962}",3
"{""name"":""Brooke Langton"",""born"":1970}",1
"{""name"":""Steve Zahn"",""born"":1967}",2
"{""name"":""Regina King"",""born"":1971}",1
"{""name"":""James Marshall"",""born"":1967}",1
"{""name"":""Meg Ryan"",""born"":1961}",5
"{""name"":""Keanu Reeves"",""born"":1964}",7
"{""name"":""Aaron Sorkin"",""born"":1961}",1
"{""name"":""Kevin Bacon"",""born"":1958}",3
"{""name"":""Naomie Harris""}",1
"{""name"":""Frank Langella"",""born"":1938}",1
"{""name"":""Ben Miles"",""born"":1967}",3
"{""name"":""Lori Petty"",""born"":1963}",1
"{""name"":""Robin Williams"",""born"":1951}",3
"{""name"":""David Morse"",""born"":1953}",1
"{""name"":""Paul Bettany"",""born"":1971}",1
"{""name"":""John Goodman"",""born"":1960}",1
"{""name"":""Dave Chappelle"",""born"":1973}",1
"{""name"":""Ethan Hawke"",""born"":1970}",1
"{""name"":""Orlando Jones"",""born"":1968}",1
"{""name"":""Clint Eastwood"",""born"":1930}",1
"{""name"":""Greg Kinnear"",""born"":1963}",2
"{""name"":""Christina Ricci"",""born"":1980}",1
"{""name"":""Patricia Clarkson"",""born"":1959}",1
"{""name"":""Natalie Portman"",""born"":1981}",1
"{""name"":""Demi Moore"",""born"":1962}",1
"{""name"":""Annabella Sciorra"",""born"":1960}",1
"{""name"":""Corey Feldman"",""born"":1971}",1
"{""name"":""Noah Wyle"",""born"":1971}",1
"{""name"":""Charlize Theron"",""born"":1975}",2
"{""name"":""Laurence Fishburne"",""born"":1961}",3
"{""name"":""Bruno Kirby"",""born"":1949}",1
"{""name"":""Christian Bale"",""born"":1974}",1
"{""name"":""Dina Meyer"",""born"":1968}",1
"{""name"":""Bill Pullman"",""born"":1953}",1
"{""name"":""Kelly McGillis"",""born"":1957}",1
"{""name"":""Kelly Preston"",""born"":1962}",1
"{""name"":""Bonnie Hunt"",""born"":1961}",2
"{""name"":""Marshall Bell"",""born"":1942}",2
"{""name"":""J.T. Walsh"",""born"":1943}",2
"{""name"":""Tom Skerritt"",""born"":1933}",1
"{""name"":""John C. Reilly"",""born"":1965}",1
